Latitude,Longitude,Species,Count,Date
21.4756611,-158.2129202,"Erckel's Spurfowl (1) 2022-01-20, Gray Francolin (1) 2022-01-20, Red-vented Bulbul (1) 2022-01-20, Warbling White-eye (1) 2022-01-20, Zebra Dove",1,2022-01-20
21.49372985,-158.2128228,"Apapane (1) 2023-04-28, Erckel's Spurfowl (2) 2023-06-17, Red-whiskered Bulbul (1) 2023-04-28, Warbling White-eye (1) 2023-04-28, White-tailed Tropicbird",1,2023-06-17
21.49166339,-157.8556774,"Java Sparrow (1) 2023-04-24, Pacific Golden-Plover (1) 2023-03-29, Red Junglefowl (1) 2023-03-29, Ruddy Turnstone (1) 2023-04-24, Western Cattle Egret",2,2023-10-16
21.51060283,-157.990684,"Chestnut Munia (1) 2024-01-18, Common Myna (2) 2024-01-18, Java Sparrow (1) 2024-01-18, Red-vented Bulbul (2) 2024-01-18, White-rumped Shama",1,2023-06-27
21.51975201,-158.00993,"Common Myna (1) 2022-07-09, Indian Peafowl (1) 2022-07-09, Red-vented Bulbul (1) 2022-07-09, Warbling White-eye (1) 2022-07-09, White-rumped Shama",1,2019-03-15
21.637073,-157.9898064,"Apapane (1) 2022-07-08, Common Waxbill (1) 2022-07-08, Oahu Amakihi (1) 2022-07-08, Warbling White-eye (1) 2022-07-08, White-rumped Shama",1,2022-07-08
21.70047805,-158.0183639,"Hawaiian Coot (1) 2021-06-12, Indian Peafowl (1) 2021-06-12, Saffron Finch (1) 2021-06-12, White-rumped Shama (1) 2021-06-12, Yellow-fronted Canary",1,2021-06-12
21.25840372,-158.1273391,"Brown Booby (1) 2019-07-22, Great Frigatebird (1) 2019-07-22, Red-footed Booby (1) 2019-07-22, Wedge-tailed Shearwater (1) 2019-07-22, White Tern (1) 2019-07-22, White-tailed Tropicbird",1,2019-07-22
21.25659668,-157.8285934,"Black Noddy (1) 2022-02-15, Black-crowned Night Heron (1) 2022-02-15, Brown Booby (2) 2022-02-15, Western Cattle Egret (1) 2022-02-15, White Tern",2,2023-04-15
21.25567837,-157.7033229,"Brown Booby (5) 2022-05-20, Great Frigatebird (1) 2022-05-20, Red-footed Booby (1) 2022-05-20, Sooty Tern (2) 2022-04-06, Wandering Tattler (2) 2022-01-20, Wedge-tailed Shearwater",1,2022-05-20
